BASE_YEAR,BASE_MONTH,MANAGE_CODE_NAME,CLASS_NO_NAME,AGE_DC,VALUE
2019,1,기장디지털도서관,자연과학,50,1
2019,1,기장디지털도서관,철학,50,1
2019,1,기장디지털도서관,철학,70,1
2019,1,기장디지털도서관,총류,20,3
2019,1,기장디지털도서관,총류,70,1
2019,1,다대도서관,기술과학,10,49
2019,1,다대도서관,기술과학,100,1
2019,1,다대도서관,기술과학,20,91
2019,1,다대도서관,기술과학,30,52
2019,1,다대도서관,기술과학,40,208
2019,1,다대도서관,기술과학,50,319
2019,1,다대도서관,기술과학,60,60
2019,1,다대도서관,기술과학,70,54
2019,1,다대도서관,기술과학,80,14
2019,1,다대도서관,기술과학,90,1
2019,1,다대도서관,문학,10,1059
2019,1,다대도서관,문학,100,8
2019,1,다대도서관,문학,20,1312
2019,1,다대도서관,문학,30,325
2019,1,다대도서관,문학,40,1052
2019,1,다대도서관,문학,50,2136
2019,1,다대도서관,문학,60,518
2019,1,다대도서관,문학,70,364
2019,1,다대도서관,문학,80,123
2019,1,다대도서관,문학,90,5
2019,1,다대도서관,사회과학,10,220
2019,1,다대도서관,사회과학,100,4
2019,1,다대도서관,사회과학,20,294
2019,1,다대도서관,사회과학,30,141
2019,1,다대도서관,사회과학,40,353
2019,1,다대도서관,사회과학,50,540
2019,1,다대도서관,사회과학,60,143
2019,1,다대도서관,사회과학,70,61
2019,1,다대도서관,사회과학,80,12
2019,1,다대도서관,사회과학,90,3
2019,1,다대도서관,언어,10,147
2019,1,다대도서관,언어,100,1
2019,1,다대도서관,언어,20,165
2019,1,다대도서관,언어,30,28
2019,1,다대도서관,언어,40,126
2019,1,다대도서관,언어,50,261
2019,1,다대도서관,언어,60,48
2019,1,다대도서관,언어,70,34
2019,1,다대도서관,언어,80,10
2019,1,다대도서관,역사,10,119
2019,1,다대도서관,역사,20,229
2019,1,다대도서관,역사,30,41
2019,1,다대도서관,역사,40,171
2019,1,다대도서관,역사,50,314
2019,1,다대도서관,역사,60,74
2019,1,다대도서관,역사,70,77
2019,1,다대도서관,역사,80,31
2019,1,다대도서관,역사,90,1
2019,1,다대도서관,예술,10,115
2019,1,다대도서관,예술,100,4
2019,1,다대도서관,예술,20,163
2019,1,다대도서관,예술,30,23
2019,1,다대도서관,예술,40,139
2019,1,다대도서관,예술,50,227
2019,1,다대도서관,예술,60,58
2019,1,다대도서관,예술,70,23
