BASE_YEAR,BASE_MONTH,GU_DC,WORKTIME_DC,MV_CNT
2017,12,남구,퇴근,13056
2017,12,동구,출근,8137
2017,12,동구,퇴근,7470
2017,12,동래구,출근,19989
2017,12,동래구,퇴근,22530
2017,12,부산진구,출근,20696
2017,12,부산진구,퇴근,23689
2017,12,북구,출근,15149
2017,12,북구,퇴근,17306
2017,12,사상구,출근,25861
2017,12,사상구,퇴근,24300
2017,12,사하구,출근,18865
2017,12,사하구,퇴근,18497
2017,12,서구,출근,6948
2017,12,서구,퇴근,5532
2017,12,수영구,출근,14412
2017,12,수영구,퇴근,17743
2017,12,연제구,출근,15386
2017,12,연제구,퇴근,15944
2017,12,영도구,출근,6612
2017,12,영도구,퇴근,5741
2017,12,중구,출근,9974
2017,12,중구,퇴근,10601
2017,12,해운대구,출근,19477
2017,12,해운대구,퇴근,21778
2018,1,강서구,출근,50679
2018,1,강서구,퇴근,31323
2018,1,금정구,출근,12436
2018,1,금정구,퇴근,13480
2018,1,기장군,출근,35194
2018,1,기장군,퇴근,30815
2018,1,남구,출근,12452
2018,1,남구,퇴근,12734
2018,1,동구,출근,8928
2018,1,동구,퇴근,8049
2018,1,동래구,출근,17634
2018,1,동래구,퇴근,20146
2018,1,부산진구,출근,19663
2018,1,부산진구,퇴근,22859
2018,1,북구,출근,15447
2018,1,북구,퇴근,18261
2018,1,사상구,출근,24584
2018,1,사상구,퇴근,23036
2018,1,사하구,출근,18655
2018,1,사하구,퇴근,18582
2018,1,서구,출근,6924
2018,1,서구,퇴근,5418
2018,1,수영구,출근,15703
2018,1,수영구,퇴근,18488
2018,1,연제구,출근,14424
2018,1,연제구,퇴근,14879
2018,1,영도구,출근,6874
2018,1,영도구,퇴근,6019
2018,1,중구,출근,10866
2018,1,중구,퇴근,10667
2018,1,해운대구,출근,19046
2018,1,해운대구,퇴근,20618
2018,2,강서구,출근,49726
2018,2,강서구,퇴근,31505
2018,2,금정구,출근,13519
2018,2,금정구,퇴근,14364
2018,2,기장군,출근,35996
2018,2,기장군,퇴근,31926
2018,2,남구,출근,12961
2018,2,남구,퇴근,13055
2018,2,동구,출근,8955
2018,2,동구,퇴근,7981
2018,2,동래구,출근,18688
2018,2,동래구,퇴근,20981
2018,2,부산진구,출근,19916
2018,2,부산진구,퇴근,23427
2018,2,북구,출근,16289
2018,2,북구,퇴근,18295
2018,2,사상구,출근,24893
2018,2,사상구,퇴근,23298
2018,2,사하구,출근,19660
2018,2,사하구,퇴근,19835
2018,2,서구,출근,7039
2018,2,서구,퇴근,5569
2018,2,수영구,출근,15552
2018,2,수영구,퇴근,18485
2018,2,연제구,출근,14749
